closest_station_id,entityId
6,30434
5,30207
6,30151
6,30147
3,30146
3,30145
5,30121
2,30120
4,30027
4,30026
4,30025
4,30024
4,30022
5,30011
4,29965
4,29964
4,29963
3,29946
4,29663
5,29347
2,29346
2,29345
5,29253
3,29200
6,29112
6,29109
4,29049
5,28932
6,28813
6,28804
5,28803
5,28802
6,28801
6,28800
6,28799
5,28798
5,28797
5,28796
6,28795
6,28794
5,28793
5,28792
5,28791
6,28790
5,28789
4,28738
4,28264
4,27717
4,27567
4,27452
4,27451
4,27450
4,27449
4,27448
4,27447
4,27446
4,27445
4,27444
4,27443
4,27442
4,27441
4,27440
5,27382
5,27381
2,27380
2,27379
2,27378
2,27377
2,27376
5,27375
5,27374
5,27373
5,27372
3,27183
3,26889
6,26805
4,26730
4,26725
4,26724
6,26708
4,26653
3,26224
3,26209
4,24482
6,24481
4,24479
4,24478
6,24476
5,24475
6,24474
6,24473
4,24472
3,24471
3,24469
6,24468
3,24467
3,24466
3,24465
4,24464
4,24463
5,24462
5,24461
5,24460
4,24459
4,24458
3,24457
2,24456
2,24455
6,24454
6,24453
2,24452
4,24451
3,24450
4,24449
6,24448
3,24447
4,24446
4,24445
4,24444
4,24443
4,24442
3,24441
4,24440
2,24439
4,24438
4,24437
3,24436
5,24435
5,24434
5,24433
5,24432
5,24431
5,24430
5,24429
5,24428
5,24427
2,24426
2,24425
2,24424
2,24423
5,24422
2,24421
2,24420
6,24419
5,24418
3,24417
6,24416
3,24415
3,24414
3,24413
3,24412
3,24411
3,24410
3,24409
3,24408
3,24407
4,24406
4,24405
4,24404
4,24403
3,24402
6,24401
3,24400
3,24399
3,24398
3,24397
3,24396
4,24395
6,24394
3,24393
3,24392
3,24391
6,24390
3,24389
4,24388
3,24387
4,24386
3,24385
6,24384
6,24383
6,24381
3,24380
3,24379
3,24378
6,24377
3,24376
3,24375
3,24374
3,24373
6,24372
3,24371
3,24370
3,24369
3,24368
3,24367
